PersonID,Event,Timestamp,Weather,Temp,Wind,Humidity,NumDailyExits,Date,Hour,Minute,DayOfWeek,TimeOfDay,WeatherCat,TimeToNextExit
abdulmalik,Exit,2017-01-01 14:36:18.146167,Sunny ,14,9,72.0,1,2017-01-01,14,36,6,afternoon,Clear,2.5
abdulmalik,Enter,2017-01-01 17:06:50.621949,Sunny ,14,9,72.0,1,2017-01-01,17,6,6,evening,Clear,16.05
abdulmalik,Exit,2017-01-02 09:09:08.827054,Clear ,13,13,77.0,3,2017-01-02,9,9,0,morning,Clear,5.566666666666666
abdulmalik,Enter,2017-01-02 14:43:19.808819,Clear ,13,13,77.0,3,2017-01-02,14,43,0,afternoon,Clear,0.1
abdulmalik,Exit,2017-01-02 14:49:53.136912,Clear ,13,13,77.0,3,2017-01-02,14,49,0,afternoon,Clear,1.7666666666666666
abdulmalik,Enter,2017-01-02 16:35:36.176051,Clear ,13,13,77.0,3,2017-01-02,16,35,0,afternoon,Clear,0.7166666666666667
abdulmalik,Exit,2017-01-02 17:18:25.578482,Clear ,13,13,77.0,3,2017-01-02,17,18,0,evening,Clear,2.2333333333333334
abdulmalik,Enter,2017-01-02 19:32:30.241341,Clear ,13,13,77.0,3,2017-01-02,19,32,0,evening,Clear,12.216666666666669
abdulmalik,Exit,2017-01-03 07:45:29.010799,Clear ,12,13,58.0,1,2017-01-03,7,45,1,morning,Clear,4.0
abdulmalik,Enter,2017-01-03 11:45:23.415508,Clear ,12,13,58.0,1,2017-01-03,11,45,1,morning,Clear,19.3
abdulmalik,Exit,2017-01-04 07:03:18.805061,Clear ,13,20,51.0,2,2017-01-04,7,3,2,morning,Clear,4.35
abdulmalik,Enter,2017-01-04 11:24:25.970176,Clear ,13,20,51.0,2,2017-01-04,11,24,2,morning,Clear,3.45
abdulmalik,Exit,2017-01-04 14:51:16.002982,Clear ,13,20,51.0,2,2017-01-04,14,51,2,afternoon,Clear,2.25
abdulmalik,Enter,2017-01-04 17:06:10.837160,Clear ,13,20,51.0,2,2017-01-04,17,6,2,evening,Clear,13.533333333333331
abdulmalik,Exit,2017-01-05 06:38:06.328023,Sunny ,12,22,54.0,1,2017-01-05,6,38,3,morning,Clear,5.383333333333334
abdulmalik,Enter,2017-01-05 12:01:57.289246,Sunny ,12,22,54.0,1,2017-01-05,12,1,3,afternoon,Clear,18.966666666666665
abdulmalik,Exit,2017-01-06 06:59:21.437745,Clear ,8,0,62.0,2,2017-01-06,6,59,4,morning,Clear,4.4
abdulmalik,Enter,2017-01-06 11:23:00.907632,Clear ,8,0,62.0,2,2017-01-06,11,23,4,morning,Clear,6.05
abdulmalik,Exit,2017-01-06 17:26:02.874081,Clear ,8,0,62.0,2,2017-01-06,17,26,4,evening,Clear,1.6166666666666667
abdulmalik,Enter,2017-01-06 19:03:50.199005,Clear ,8,0,62.0,2,2017-01-06,19,3,4,evening,Clear,20.333333333333332
abdulmalik,Exit,2017-01-07 15:23:19.113656,Scattered clouds ,21,7,43.0,2,2017-01-07,15,23,5,afternoon,Cloudy,1.5666666666666669
abdulmalik,Enter,2017-01-07 16:57:23.936813,Scattered clouds ,21,7,43.0,2,2017-01-07,16,57,5,afternoon,Cloudy,0.3833333333333333
abdulmalik,Exit,2017-01-07 17:20:23.666989,Scattered clouds ,21,7,43.0,2,2017-01-07,17,20,5,evening,Cloudy,1.6666666666666667
abdulmalik,Enter,2017-01-07 19:00:37.266140,Scattered clouds ,21,7,43.0,2,2017-01-07,19,0,5,evening,Cloudy,19.833333333333332
abdulmalik,Exit,2017-01-08 14:50:16.243838,Clear ,16,9,52.0,1,2017-01-08,14,50,6,afternoon,Clear,2.15
abdulmalik,Enter,2017-01-08 16:59:47.938626,Clear ,16,9,52.0,1,2017-01-08,16,59,6,afternoon,Clear,14.883333333333333
abdulmalik,Exit,2017-01-09 07:52:25.306028,Sunny ,10,7,71.0,1,2017-01-09,7,52,0,morning,Clear,6.75
abdulmalik,Enter,2017-01-09 14:37:11.429168,Sunny ,10,7,71.0,1,2017-01-09,14,37,0,afternoon,Clear,17.65
abdulmalik,Exit,2017-01-10 08:16:39.188097,Sunny ,8,13,66.0,2,2017-01-10,8,16,1,morning,Clear,4.633333333333334
abdulmalik,Enter,2017-01-10 12:54:52.871295,Sunny ,8,13,66.0,2,2017-01-10,12,54,1,afternoon,Clear,3.4166666666666665
abdulmalik,Exit,2017-01-10 16:19:13.328466,Sunny ,8,13,66.0,2,2017-01-10,16,19,1,afternoon,Clear,1.7166666666666666
abdulmalik,Enter,2017-01-10 18:02:47.462171,Sunny ,8,13,66.0,2,2017-01-10,18,2,1,evening,Clear,13.833333333333334
